encounter_datetime,park_area_id,park_division,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/07/2020 09:53:00 AM,M047-01,Recreation,Social Distancing,Social Distancing,14,12,Open field/multi-purpose play area,,,,,Manhattan
07/07/2020 10:00:00 AM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/07/2020 09:48:00 AM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 09:30:00 AM,X104,Recreation,Social Distancing,Social Distancing,12,0,Open field/multi-purpose play area,,,,,Bronx
07/07/2020 08:30:00 AM,X104,Recreation,Social Distancing,Social Distancing,10,0,Open field/multi-purpose play area,,,,,Bronx
07/03/2020 02:30:00 PM,X104,Recreation,Social Distancing,Social Distancing,6,2,Skate park,,,,,Bronx
07/06/2020 11:00:00 AM,X104,Recreation,Social Distancing,Social Distancing,4,0,Bench/sitting area,,,,,Bronx
06/05/2020 06:30:00 PM,R088,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/06/2020 06:30:00 PM,R046,Park Administrator Ambassador,No encounter,No Encounter,,,,,,,,Staten Island
07/03/2020 02:30:00 PM,Q024,Recreation,Social Distancing,Social Distancing,2,0,Walking path,,,,,Queens
07/06/2020 01:47:00 PM,X104,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 09:45:00 AM,X104,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 08:49:00 AM,X104,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 11:00:00 AM,X092,Recreation,Social Distancing,Social Distancing,0,0,Walking path,,,,,Bronx
07/06/2020 03:35:00 PM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 03:00:00 PM,Q448,Recreation,Social Distancing,Social Distancing,0,3,Playground,,,,,Queens
07/06/2020 03:30:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 03:40:00 PM,Q218,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:30:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 02:30:00 PM,M014,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 01:30:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 12:30:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 02:31:00 PM,M013,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 12:30:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 03:25:00 PM,Q104-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 11:00:00 AM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 03:15:00 PM,Q048-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:21:00 PM,M030,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 02:15:00 PM,M015,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 02:11:00 PM,M246,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 03:00:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 03:01:00 PM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 03:00:00 PM,Q296,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/02/2020 03:05:00 PM,Q395,Recreation,Social Distancing,Social Distancing,5,0,Playground,,,,,Queens
07/06/2020 02:50:00 PM,Q444,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:30:00 PM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:38:00 PM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:27:00 PM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 11:00:00 AM,B077,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/06/2020 02:22:00 PM,Q099-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:07:00 PM,X045-02,Recreation,Social Distancing,Social Distancing,14,0,Bench/sitting area,,,,,Bronx
07/06/2020 02:20:00 PM,Q377,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:20:00 PM,Q377,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 11:30:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 02:18:00 AM,Q357B01,Recreation,No encounter,No Encounter,,,,,,,,Queens
05/22/2020 11:25:00 AM,M246,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 01:52:00 PM,X045-01,Recreation,Social Distancing,Social Distancing,69,0,Adult fitness equipment,,,,,Bronx
07/06/2020 01:35:00 PM,X045-03,Recreation,Social Distancing,Social Distancing,98,0,Open field/multi-purpose play area,,,,,Bronx
07/06/2020 02:12:00 PM,Q357B,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 01:47:00 PM,X030,Recreation,Social Distancing,Social Distancing,137,0,Track/field area,,,,,Bronx
07/06/2020 02:10:00 PM,X200,Recreation,Social Distancing,Social Distancing,10,0,Playground,,,,,Bronx
07/06/2020 01:00:00 PM,Q051,Recreation,Social Distancing,Social Distancing,4,2,Bench/sitting area,,,,,Queens
07/06/2020 12:15:00 PM,X045,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/06/2020 11:00:00 AM,X028,Recreation,Social Distancing,Social Distancing,0,70,Bench/sitting area,,,,,Bronx
07/06/2020 11:20:00 AM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 01:05:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/03/2020 02:30:00 PM,Q024,Recreation,Social Distancing,Social Distancing,2,0,Walking path,,,,,Queens
07/06/2020 10:15:00 AM,Q099-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 10:00:00 AM,M014,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 09:07:00 AM,X217,Recreation,Social Distancing,Social Distancing,0,0,Adult fitness equipment,,,,,Bronx
07/06/2020 09:00:00 AM,M015,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 08:45:00 AM,M082,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 08:35:00 AM,M132,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 08:25:00 AM,M019,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 11:30:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 08:20:00 AM,M206,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 10:50:00 AM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 11:10:00 AM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 08:15:00 AM,M194,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/06/2020 10:58:00 AM,X238,Recreation,Social Distancing,Social Distancing,4,0,Playground,,,,,Bronx
07/06/2020 11:00:00 AM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/06/2020 10:44:00 AM,X246,Recreation,Social Distancing,Social Distancing,6,0,Bench/sitting area,,,,,Bronx
07/06/2020 10:38:00 AM,X103,Recreation,Social Distancing,Social Distancing,2,0,Playground,,,,,Bronx
07/06/2020 10:00:00 AM,Q005,Recreation,Social Distancing,Social Distancing,5,2,Bench/sitting area,,,,,Queens
07/06/2020 10:52:00 AM,R147,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/06/2020 10:45:00 AM,R046-01,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/06/2020 10:00:00 AM,Q024,Recreation,Social Distancing,Social Distancing,10,0,Walking path,,,,,Queens
07/08/2020 09:36:00 AM,R046-06,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/06/2020 10:00:00 AM,Q024,Recreation,Social Distancing,Social Distancing,8,0,Walking path,,,,,Queens
07/06/2020 09:20:00 AM,R046-07,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/06/2020 09:07:00 AM,R046,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/06/2020 10:25:00 AM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 10:18:00 AM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 10:06:00 AM,Q357B01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 10:07:00 AM,Q377,Recreation,No encounter,No Encounter,,,,,,,,Queens
